input1	input2	input3	label
to	car	The car driver wanted to take a look at it.	The to driver wanted car take a look at it.
girl	but	The girl was worried, but her dad wasn't worried.	The but was worried, girl her dad wasn't worried.
some	Some	Some mushrooms are good, but some are bad.	some mushrooms are good, but Some are bad.
were	They	They all came running and were very excited.	were all came running and They very excited.
jump	liked	They liked to run and jump and laugh.	They jump to run and liked and laugh.
One	some	One day, she made some strips of paper.	some day, she made One strips of paper.
together	energy	They jogged together, buzzing with energy.	They jogged energy, buzzing with together.
lost	then	But then, she realized she was lost.	But lost, she realized she was then.
in	playing	Lily and Ben were playing in the park.	Lily and Ben were in playing the park.
Mia	stop	Ben and Mia stop crying and smile.	Ben and stop Mia crying and smile.
a	was	Once there was a monkey named Tom.	Once there a was monkey named Tom.
She	that	She looked for another book that she liked.	that looked for another book She she liked.
waved	as	The monster smiled and waved as she left.	The monster smiled and as waved she left.
what	know	Lily and Ben did not know what to do.	Lily and Ben did not what know to do.
him	She	She tells him that the dog just wanted to play.	him tells She that the dog just wanted to play.
the	saw	She saw them fighting over the book.	She the them fighting over saw book.
to	wanted	Molly said she wanted to fly.	Molly said she to wanted fly.
everyone	agreed	And everyone agreed.	And agreed everyone.
boy	belonged	It belonged to a little boy named Jack.	It boy to a little belonged named Jack.
Lily	wanted	After a while, Lily got tired and wanted to rest.	After a while, wanted got tired and Lily to rest.
found	I	I found a match!	found I a match!
songs	all	They all sang songs together.	They songs sang all together.
not	nice	I was not nice to you.	I was nice not to you.
he	smiled	Peter smiled too; he felt proud of himself.	Peter he too; smiled felt proud of himself.
toy	picture	He takes a picture of her with his toy camera.	He takes a toy of her with his picture camera.
He	the	He could feel the cool, silver water all around him.	the could feel He cool, silver water all around him.
she	mommy	One day, she went to the park with her mommy.	One day, mommy went to the park with her she.
back	market	He came back from the market.	He came market from the back.
sad	Lily	Lily was sad.	sad was Lily.
that	They	They learned a hard lesson that day.	that learned a hard lesson They day.
is	loud	The truck is very loud and fast.	The truck loud very is and fast.
were	day	One day, Tom and Mandy were walking through the forest.	One were, Tom and Mandy day walking through the forest.
excited	was	Her mom said yes and she was really excited.	Her mom said yes and she excited really was.
ran	to	Her daughter ran to her with a big hug.	Her daughter to ran her with a big hug.
fun	They	They played and had fun.	fun played and had They.
time	upon	Once upon a time, there was a person.	Once time a upon, there was a person.
day	One	One day the kangaroo found a box of treats.	day One the kangaroo found a box of treats.
his	Tom	Tom stopped his jog and was scared.	his stopped Tom jog and was scared.
cow	time	Once upon a time there was a black cow.	Once upon a cow there was a black time.
truck	and	She sees Ben and his fire truck.	She sees Ben truck his fire and.
The	and	The flowers are pink and yellow.	and flowers are pink The yellow.
He	did	He did not want to give them back.	did He not want to give them back.
her	and	He grabbed her flute and ran away.	He grabbed and flute her ran away.
play	want	I want to play.	I play to want.
Tom	to	Tom did not like to play with the other animals.	to did not like Tom play with the other animals.
a	He	He saw a big dog coming towards him.	a saw He big dog coming towards him.
he	something	So he looked around for something else.	So something looked around for he else.
loved	paint	Lily loved to paint with her bright colors.	Lily paint to loved with her bright colors.
mom	kitchen	Her mom was in the kitchen, making cookies.	Her kitchen was in the mom, making cookies.
what	the	She wonders what lives in the hole.	She wonders the lives in what hole.
her	only	But her sister only laughed.	But only sister her laughed.
wanted	run	But they also wanted to run away.	But they also run to wanted away.
upon	girl	Once upon a time, there was a girl named Lily.	Once girl a time, there was a upon named Lily.
curious	very	She was also very curious.	She was also curious very.
you	said	The fish said â€œI can help you escape!	The fish you â €œI can help said escape!
and	outside	Sam and Lily were friends who liked to play outside.	Sam outside Lily were friends who liked to play and.
so	smelled	Her grandma had made cookies that smelled so good.	Her grandma had made cookies that so smelled good.
herself	brave	The brave little girl smiled to herself.	The herself little girl smiled to brave.
asked	went	He went to a restaurant and asked for the menu.	He asked to a restaurant and went for the menu.
be	careful	But be careful.	But careful be.
things	modern	Ben likes modern things too.	Ben likes things modern too.
friend	her	She saw her friend, Tom.	She saw friend her, Tom.
together	and	They played together every day and had lots of fun.	They played and every day together had lots of fun.
Kim	and	Tim and Kim are scared.	Tim Kim and are scared.
car	the	She did not like the car.	She did not like car the.
the	They	They both wanted the elephant.	the both wanted They elephant.
sad	angry	Anna and Ben are sad and angry.	Anna and Ben are angry and sad.
wagging	barking	The dog was barking and wagging its tail.	The dog was wagging and barking its tail.
and	worried	He is surprised and worried.	He is surprised worried and.
felt	not	They felt sad and wished they had not traded.	They not sad and wished they had felt traded.
worked	to	He worked hard to make the best smiles for everyone.	He to hard worked make the best smiles for everyone.
how	an	And that's how the small kiss made an enormous difference.	And that's an the small kiss made how enormous difference.
It	round	It was red and round.	round was red and It.
the	and	They held hands and climbed up the branch.	They held hands the climbed up and branch.
door	heard	He heard the door open and his sister came home.	He door the heard open and his sister came home.
up	the	He picked up his shovel and hit the castle.	He picked the his shovel and hit up castle.
did	peach	She did not know which fruit was a peach.	She peach not know which fruit was a did.
skin	I	I did not have a drum skin.	skin did not have a drum I.
She	very	She was very gentle and cared for him.	very was She gentle and cared for him.
time	they	Then they decided to play catch one more time.	Then time decided to play catch one more they.
one	to	She wants to pick one, but they are too high.	She wants one pick to, but they are too high.
She	in	She sprayed the can all around the kitchen in circles.	in sprayed the can all around the kitchen She circles.
big	of	Mia saw a big hill with a lot of flowers.	Mia saw a of hill with a lot big flowers.
arrow	found	One day, he found a bow and arrow.	One day, he arrow a bow and found.
idea	that	His friends thought that was a great idea.	His friends thought idea was a great that.
away	Lily	He pushes Lily away.	He pushes away Lily.
Lily	hug	Lily and Ben hug each other.	hug and Ben Lily each other.
He	it	He couldn't believe how wonderful it smelled.	it couldn't believe how wonderful He smelled.
cooler	that	Jane was happy that her cooler was safe.	Jane was happy cooler her that was safe.
nervous	said	Timmy was nervous, but he said yes.	Timmy was said, but he nervous yes.
she	When	When Fluffy found Sue, she would meow loudly.	she Fluffy found Sue, When would meow loudly.
Mia	and	Tom and Mia felt bad.	Tom Mia and felt bad.
said	dangerous	She said the bear was bad and dangerous.	She dangerous the bear was bad and said.
did	who	He did not know who it was.	He who not know did it was.
make	little	But his favorite thing to make was a little igloo.	But his favorite thing to little was a make igloo.
They	learned	They learned a lesson.	learned They a lesson.
Uncle	Finally	Finally, Uncle Barry made it across town.	Uncle, Finally Barry made it across town.
on	wind	He feels the wind on his face and laughs.	He feels the on wind his face and laughs.
others	kite	Some children had a ball and others had a kite.	Some children had a ball and kite had a others.
for	was	He was recording the movie for a good reason.	He for recording the movie was a good reason.
Lily's	mom	Lily's mom came into the room and saw what happened.	mom Lily's came into the room and saw what happened.
didn't	the	But Lily didn't listen and kept chasing the butterfly.	But Lily the listen and kept chasing didn't butterfly.
there	caterpillar	Once there was a caterpillar who wanted to measure things.	Once caterpillar was a there who wanted to measure things.
was	it	She was very happy with it.	She it very happy with was.
named	Once	Once there was a fine little girl named Sarah.	named there was a fine little girl Once Sarah.
boy	off	Suddenly, it broke and the boy fell off.	Suddenly, it broke and the off fell boy.
owner	the	The grandma was very happy and thanked the store owner.	The grandma was very happy and thanked owner store the.
some	swan	The swan was shy and hid behind some reeds.	The some was shy and hid behind swan reeds.
he	got	Then, he got a bright idea.	Then, got he a bright idea.
