input1	input2	input3	label
some	not	One day, she made some strips of paper.	One day, she made not strips of paper.
with	costs	They jogged together, buzzing with energy.	They jogged together, buzzing costs energy.
then	provides	But then, she realized she was lost.	But provides, she realized she was lost.
park	register	Lily and Ben were playing in the park.	Lily and Ben were playing in the register.
Ben	start	Ben and Mia stop crying and smile.	start and Mia stop crying and smile.
a	car	Once there was a monkey named Tom.	Once there was car monkey named Tom.
she	already	She looked for another book that she liked.	She looked for another book that already liked.
and	users	The monster smiled and waved as she left.	The monster smiled users waved as she left.
did	their	Lily and Ben did not know what to do.	Lily and Ben their not know what to do.
just	info	She tells him that the dog just wanted to play.	She tells him that the dog info wanted to play.
She	further	She saw them fighting over the book.	further saw them fighting over the book.
said	after	Molly said she wanted to fly.	Molly after she wanted to fly.
And	news	And everyone agreed.	news everyone agreed.
little	held	It belonged to a little boy named Jack.	It belonged to a held boy named Jack.
Lily	off	After a while, Lily got tired and wanted to rest.	After a while, off got tired and wanted to rest.
a	file	I found a match!	I found file match!
together	credit	They all sang songs together.	They all sang songs credit.
not	create	I was not nice to you.	I was create nice to you.
he	off	Peter smiled too; he felt proud of himself.	Peter smiled too; off felt proud of himself.
a	getting	He takes a picture of her with his toy camera.	He takes getting picture of her with his toy camera.
cool	info	He could feel the cool, silver water all around him.	He could feel the info, silver water all around him.
her	note	One day, she went to the park with her mommy.	One day, she went to the park with note mommy.
from	making	He came back from the market.	He came back making the market.
was	employment	Lily was sad.	Lily employment sad.
learned	library	They learned a hard lesson that day.	They library a hard lesson that day.
truck	storage	The truck is very loud and fast.	The storage is very loud and fast.
forest	change	One day, Tom and Mandy were walking through the forest.	One day, Tom and Mandy were walking through the change.
mom	shopping	Her mom said yes and she was really excited.	Her shopping said yes and she was really excited.
Her	air	Her daughter ran to her with a big hug.	air daughter ran to her with a big hug.
had	through	They played and had fun.	They played and through fun.
person	love	Once upon a time, there was a person.	Once upon a time, there was a love.
kangaroo	stop	One day the kangaroo found a box of treats.	One day the stop found a box of treats.
jog	tell	Tom stopped his jog and was scared.	Tom stopped his tell and was scared.
time	rating	Once upon a time there was a black cow.	Once upon a rating there was a black cow.
truck	resources	She sees Ben and his fire truck.	She sees Ben and his fire resources.
are	reference	The flowers are pink and yellow.	The flowers reference pink and yellow.
not	does	He did not want to give them back.	He did does want to give them back.
ran	types	He grabbed her flute and ran away.	He grabbed her flute and types away.
play	party	I want to play.	I want to party.
to	make	Tom did not like to play with the other animals.	Tom did not like make play with the other animals.
a	reference	He saw a big dog coming towards him.	He saw reference big dog coming towards him.
So	video	So he looked around for something else.	video he looked around for something else.
paint	posts	Lily loved to paint with her bright colors.	Lily loved to posts with her bright colors.
cookies	mark	Her mom was in the kitchen, making cookies.	Her mom was in the kitchen, making mark.
lives	left	She wonders what lives in the hole.	She wonders what left in the hole.
But	enough	But her sister only laughed.	enough her sister only laughed.
they	book	But they also wanted to run away.	But book also wanted to run away.
was	printer	Once upon a time, there was a girl named Lily.	Once upon a time, there printer a girl named Lily.
She	given	She was also very curious.	given was also very curious.
said	true	The fish said â€œI can help you escape!	The fish true â €œI can help you escape!
were	university	Sam and Lily were friends who liked to play outside.	Sam and Lily university friends who liked to play outside.
that	right	Her grandma had made cookies that smelled so good.	Her grandma had made cookies right smelled so good.
girl	say	The brave little girl smiled to herself.	The brave little say smiled to herself.
to	rates	He went to a restaurant and asked for the menu.	He went rates a restaurant and asked for the menu.
be	practice	But be careful.	But practice careful.
Ben	room	Ben likes modern things too.	room likes modern things too.
She	step	She saw her friend, Tom.	step saw her friend, Tom.
They	non	They played together every day and had lots of fun.	non played together every day and had lots of fun.
and	months	Tim and Kim are scared.	Tim months Kim are scared.
like	back	She did not like the car.	She did not back the car.
both	website	They both wanted the elephant.	They website wanted the elephant.
sad	friends	Anna and Ben are sad and angry.	Anna and Ben are friends and angry.
its	english	The dog was barking and wagging its tail.	The dog was barking and wagging english tail.
is	guide	He is surprised and worried.	He guide surprised and worried.
had	fun	They felt sad and wished they had not traded.	They felt sad and wished they fun not traded.
the	space	He worked hard to make the best smiles for everyone.	He worked hard to make space best smiles for everyone.
that's	point	And that's how the small kiss made an enormous difference.	And point how the small kiss made an enormous difference.
and	following	It was red and round.	It was red following round.
the	july	They held hands and climbed up the branch.	They held hands and climbed up july branch.
his	video	He heard the door open and his sister came home.	He heard the door open and video sister came home.
and	real	He picked up his shovel and hit the castle.	He picked up his shovel real hit the castle.
was	port	She did not know which fruit was a peach.	She did not know which fruit port a peach.
I	working	I did not have a drum skin.	working did not have a drum skin.
and	death	She was very gentle and cared for him.	She was very gentle death cared for him.
catch	why	Then they decided to play catch one more time.	Then they decided to play why one more time.
pick	state	She wants to pick one, but they are too high.	She wants to state one, but they are too high.
in	here	She sprayed the can all around the kitchen in circles.	She sprayed the can all around the kitchen here circles.
a	license	Mia saw a big hill with a lot of flowers.	Mia saw license big hill with license lot of flowers.
found	very	One day, he found a bow and arrow.	One day, he very a bow and arrow.
idea	not	His friends thought that was a great idea.	His friends thought that was a great not.
pushes	enough	He pushes Lily away.	He enough Lily away.
and	license	Lily and Ben hug each other.	Lily license Ben hug each other.
couldn't	test	He couldn't believe how wonderful it smelled.	He test believe how wonderful it smelled.
happy	below	Jane was happy that her cooler was safe.	Jane was below that her cooler was safe.
said	login	Timmy was nervous, but he said yes.	Timmy was nervous, but he login yes.
When	computer	When Fluffy found Sue, she would meow loudly.	computer Fluffy found Sue, she would meow loudly.
Mia	years	Tom and Mia felt bad.	Tom and years felt bad.
said	next	She said the bear was bad and dangerous.	She next the bear was bad and dangerous.
know	dvd	He did not know who it was.	He did not dvd who it was.
igloo	add	But his favorite thing to make was a little igloo.	But his favorite thing to make was a little add.
learned	september	They learned a lesson.	They september a lesson.
across	not	Finally, Uncle Barry made it across town.	Finally, Uncle Barry made it not town.
feels	holiday	He feels the wind on his face and laughs.	He holiday the wind on his face and laughs.
and	five	Some children had a ball and others had a kite.	Some children had a ball five others had a kite.
the	links	He was recording the movie for a good reason.	He was recording links movie for a good reason.
Lily's	porn	Lily's mom came into the room and saw what happened.	porn mom came into the room and saw what happened.
chasing	sales	But Lily didn't listen and kept chasing the butterfly.	But Lily didn't listen and kept sales the butterfly.
was	home	Once there was a caterpillar who wanted to measure things.	Once there home a caterpillar who wanted to measure things.
happy	groups	She was very happy with it.	She was very groups with it.
Sarah	over	Once there was a fine little girl named Sarah.	Once there was a fine little girl named over.
it	author	Suddenly, it broke and the boy fell off.	Suddenly, author broke and the boy fell off.
the	copyright	The grandma was very happy and thanked the store owner.	The grandma was very happy and thanked copyright store owner.
shy	global	The swan was shy and hid behind some reeds.	The swan was global and hid behind some reeds.
idea	ebay	Then, he got a bright idea.	Then, he got a bright ebay.
